Pelicula;F.Alquiler;F.Devolucion;Cliente;Empleado
SMILE EARRING;17/08/2005 4:13:45;26/08/2005 1:00:45;NATALIE MEYER;Mike Hillyer
CHAINSAW UPTOWN;17/08/2005 4:17:42;18/08/2005 2:46:42;CORY MEEHAN;Mike Hillyer
CLEOPATRA DEVIL;17/08/2005 4:18:52;25/08/2005 3:05:52;ROLAND SOUTH;Jon Stephens
SILVERADO GOLDFINGER;17/08/2005 4:27:18;25/08/2005 1:12:18;MABEL HOLLAND;Jon Stephens
CIDER DESIRE;17/08/2005 4:27:46;19/08/2005 9:58:46;THERESA WATSON;Jon Stephens
GRACELAND DYNAMITE;17/08/2005 4:30:09;20/08/2005 6:56:09;TIM CARY;Mike Hillyer
GRIT CLOCKWORK;17/08/2005 4:49:46;24/08/2005 8:49:46;BARRY LOVELACE;Mike Hillyer
PATHS CONTROL;17/08/2005 4:54:14;23/08/2005 4:16:14;TIFFANY JORDAN;Jon Stephens
QUEST MUSSOLINI;17/08/2005 4:59:26;20/08/2005 4:02:26;AGNES BISHOP;Jon Stephens
SPLASH GUMP;17/08/2005 5:30:19;25/08/2005 8:14:19;LOUIS LEONE;Mike Hillyer
EXPRESS LONELY;17/08/2005 5:35:52;18/08/2005 2:40:52;DON BONE;Mike Hillyer
CONSPIRACY SPIRIT;17/08/2005 5:54:15;21/08/2005 8:12:15;WILLIAM SATTERFIELD;Jon Stephens
WORST BANGER;17/08/2005 6:12:27;23/08/2005 8:54:27;BESSIE MORRISON;Mike Hillyer
VACATION BOONDOCK;17/08/2005 6:27:15;22/08/2005 2:11:15;BRAD MCCURDY;Jon Stephens
JEOPARDY ENCINO;17/08/2005 6:41:58;25/08/2005 4:38:58;KATHRYN COLEMAN;Mike Hillyer
SPY MILE;17/08/2005 7:01:09;21/08/2005 9:12:09;ARNOLD HAVENS;Jon Stephens
SUIT WALLS;17/08/2005 7:09:59;19/08/2005 4:31:59;JONATHAN SCARBOROUGH;Mike Hillyer
DINOSAUR SECRETARY;17/08/2005 7:24:59;24/08/2005 10:40:59;VIRGIL WOFFORD;Mike Hillyer
FORREST SONS;17/08/2005 7:30:55;18/08/2005 9:21:55;GORDON ALLARD;Mike Hillyer
GENTLEMEN STAGE;17/08/2005 7:40:55;25/08/2005 11:19:55;TOM MILNER;Mike Hillyer
HYSTERICAL GRAIL;17/08/2005 7:46:05;23/08/2005 8:52:05;DENNIS GILMAN;Mike Hillyer
CAMPUS REMEMBER;17/08/2005 8:09:00;18/08/2005 9:50:00;JANET PHILLIPS;Mike Hillyer
MARS ROMAN;17/08/2005 8:35:42;26/08/2005 11:04:42;TOM MILNER;Mike Hillyer
TUXEDO MILE;17/08/2005 8:40:55;26/08/2005 9:03:55;JAVIER ELROD;Mike Hillyer
TORQUE BOUND;17/08/2005 8:42:08;19/08/2005 8:14:08;NELSON CHRISTENSON;Mike Hillyer
LOSER HUSTLER;17/08/2005 8:48:31;24/08/2005 7:47:31;SHIRLEY ALLEN;Jon Stephens
ZOOLANDER FICTION;17/08/2005 9:03:24;25/08/2005 6:08:24;JAMES GANNON;Jon Stephens
CHILL LUCK;17/08/2005 9:07:00;23/08/2005 8:16:00;YOLANDA WEAVER;Jon Stephens
SAINTS BRIDE;17/08/2005 9:15:35;23/08/2005 6:28:35;DUANE TUBBS;Jon Stephens
EAGLES PANKY;17/08/2005 9:48:06;26/08/2005 13:12:06;VIOLA HANSON;Jon Stephens
THEORY MERMAID;17/08/2005 10:27:19;26/08/2005 13:10:19;LOUISE JENKINS;Mike Hillyer
JUMANJI BLADE;17/08/2005 10:34:24;21/08/2005 4:55:24;SHERRI RHODES;Mike Hillyer
HARRY IDAHO;17/08/2005 10:37:00;21/08/2005 12:03:00;LESLIE SEWARD;Jon Stephens
FLYING HOOK;17/08/2005 10:57:40;24/08/2005 6:48:40;RICKY SHELBY;Jon Stephens
HOPE TOOTSIE;17/08/2005 10:59:00;19/08/2005 5:56:00;VANESSA SIMS;Mike Hillyer
EVE RESURRECTION;17/08/2005 10:59:18;22/08/2005 11:12:18;JORDAN ARCHULETA;Mike Hillyer
SLUMS DUCK;17/08/2005 11:03:53;26/08/2005 6:34:53;RANDY GAITHER;Mike Hillyer
JEEPERS WEDDING;17/08/2005 11:13:38;19/08/2005 14:20:38;JAIME NETTLES;Jon Stephens
KARATE MOON;17/08/2005 11:29:52;21/08/2005 8:37:52;JUAN FRALEY;Mike Hillyer
CHILL LUCK;17/08/2005 11:30:11;23/08/2005 9:54:11;ELLEN SIMPSON;Mike Hillyer
SIERRA DIVIDE;17/08/2005 11:42:08;22/08/2005 7:45:08;ERIN DUNN;Jon Stephens
PURE RUNNER;17/08/2005 11:49:28;22/08/2005 15:42:28;ETHEL WEBB;Mike Hillyer
DREAM PICKUP;17/08/2005 11:51:39;24/08/2005 17:14:39;RICHARD MCCRARY;Mike Hillyer
DOGMA FAMILY;17/08/2005 12:06:54;21/08/2005 17:52:54;KATHLEEN ADAMS;Jon Stephens
KISS GLORY;17/08/2005 12:20:01;19/08/2005 18:06:01;MARTHA GONZALEZ;Mike Hillyer
CHICKEN HELLFIGHTERS;17/08/2005 12:25:17;19/08/2005 16:12:17;LUCY WHEELER;Mike Hillyer
NASH CHOCOLAT;17/08/2005 12:25:33;19/08/2005 7:04:33;TONY CARRANZA;Jon Stephens
HAPPINESS UNITED;17/08/2005 12:43:46;19/08/2005 16:59:46;FERNANDO CHURCHILL;Jon Stephens
JAWBREAKER BROOKLYN;17/08/2005 12:52:04;19/08/2005 10:50:04;KEN PREWITT;Jon Stephens
LADY STAGE;17/08/2005 12:55:31;19/08/2005 8:31:31;ETHEL WEBB;Mike Hillyer
NAME DETECTIVE;17/08/2005 13:03:13;19/08/2005 10:50:13;ZACHARY HITE;Mike Hillyer
DOOM DANCING;17/08/2005 13:04:41;26/08/2005 14:19:41;ANDREA HENDERSON;Mike Hillyer
PILOT HOOSIERS;17/08/2005 13:14:50;22/08/2005 11:31:50;BRITTANY RILEY;Jon Stephens
STORM HAPPINESS;17/08/2005 13:39:32;23/08/2005 18:44:32;JENNIFER DAVIS;Jon Stephens
BEVERLY OUTLAW;17/08/2005 13:44:49;21/08/2005 17:20:49;CYNTHIA YOUNG;Mike Hillyer
AMELIE HELLFIGHTERS;17/08/2005 13:48:30;18/08/2005 15:55:30;JAMIE RICE;Mike Hillyer
DARES PLUTO;17/08/2005 14:04:28;21/08/2005 10:08:28;EDDIE TOMLIN;Mike Hillyer
SAGEBRUSH CLUELESS;17/08/2005 14:10:22;24/08/2005 18:39:22;RUTH MARTINEZ;Mike Hillyer
PAST SUICIDES;17/08/2005 14:11:44;18/08/2005 17:50:44;ROBERTO VU;Mike Hillyer
MILLION ACE;17/08/2005 14:16:40;18/08/2005 15:51:40;ALVIN DELOACH;Jon Stephens
SUPERFLY TRIP;17/08/2005 14:18:21;20/08/2005 19:48:21;BRADLEY MOTLEY;Mike Hillyer
BASIC EASY;17/08/2005 14:23:52;21/08/2005 14:23:52;NELSON CHRISTENSON;Mike Hillyer
POCUS PULP;17/08/2005 14:31:56;21/08/2005 11:05:56;KAY CALDWELL;Mike Hillyer
DORADO NOTTING;17/08/2005 15:04:05;25/08/2005 18:52:05;ERIN DUNN;Jon Stephens
EASY GLADIATOR;17/08/2005 15:15:01;26/08/2005 13:49:01;KELLY TORRES;Mike Hillyer
PREJUDICE OLEANDER;17/08/2005 15:24:12;24/08/2005 13:36:12;ERICA MATTHEWS;Jon Stephens
DYNAMITE TARZAN;17/08/2005 15:37:45;23/08/2005 18:31:45;LONNIE TIRADO;Jon Stephens
CABIN FLASH;17/08/2005 16:12:27;25/08/2005 22:07:27;CLYDE TOBIAS;Mike Hillyer
DYING MAKER;17/08/2005 16:56:28;18/08/2005 15:09:28;CATHY SPENCER;Mike Hillyer
ICE CROSSING;17/08/2005 17:23:20;24/08/2005 14:47:20;AGNES BISHOP;Jon Stephens
SLUMS DUCK;17/08/2005 17:40:04;20/08/2005 15:45:04;FELICIA SUTTON;Mike Hillyer
CHISUM BEHAVIOR;17/08/2005 17:49:37;19/08/2005 19:45:37;GUY BROWNLEE;Jon Stephens
GUN BONNIE;17/08/2005 17:53:09;24/08/2005 14:41:09;MICHELLE CLARK;Mike Hillyer
MULAN MOON;17/08/2005 17:53:42;18/08/2005 12:11:42;MONICA HICKS;Jon Stephens
TRAINSPOTTING STRANGERS;17/08/2005 18:10:18;20/08/2005 13:28:18;TRACY HERRMANN;Mike Hillyer
TORQUE BOUND;17/08/2005 18:27:22;26/08/2005 22:38:22;ANITA MORALES;Jon Stephens
MOONSHINE CABIN;17/08/2005 18:34:37;20/08/2005 22:25:37;BEN EASTER;Jon Stephens
PARTY KNOCK;17/08/2005 19:10:34;24/08/2005 14:09:34;NINA SOTO;Mike Hillyer
GUN BONNIE;17/08/2005 19:29:44;23/08/2005 20:40:44;DWAYNE OLVERA;Mike Hillyer
CAUSE DATE;17/08/2005 19:32:44;23/08/2005 13:36:44;LISA ANDERSON;Jon Stephens
INDEPENDENCE HOTEL;17/08/2005 19:33:24;21/08/2005 19:59:24;LARRY THRASHER;Jon Stephens
TALENTED HOMICIDE;17/08/2005 19:59:06;23/08/2005 14:39:06;TONYA CHAPMAN;Jon Stephens
LADYBUGS ARMAGEDDON;17/08/2005 20:18:06;21/08/2005 16:41:06;WESLEY BULL;Jon Stephens
SHOOTIST SUPERFLY;17/08/2005 20:19:06;18/08/2005 19:57:06;ANNE POWELL;Jon Stephens
ENGLISH BULWORTH;17/08/2005 20:29:56;26/08/2005 22:17:56;JIMMIE EGGLESTON;Mike Hillyer
BUCKET BROTHERHOOD;17/08/2005 20:40:46;20/08/2005 18:18:46;ARMANDO GRUBER;Jon Stephens
STORY SIDE;17/08/2005 20:47:46;19/08/2005 16:09:46;RICKY SHELBY;Jon Stephens
TOMATOES HELLFIGHTERS;17/08/2005 21:09:23;25/08/2005 23:09:23;PHILIP CAUSEY;Mike Hillyer
DREAM PICKUP;17/08/2005 21:24:48;23/08/2005 22:10:48;GUY BROWNLEE;Jon Stephens
FACTORY DRAGON;17/08/2005 21:46:47;22/08/2005 22:59:47;VERONICA STONE;Mike Hillyer
AUTUMN CROW;17/08/2005 21:50:25;25/08/2005 22:36:25;KATHERINE RIVERA;Jon Stephens
POSEIDON FOREVER;17/08/2005 21:54:55;23/08/2005 23:04:55;ETHEL WEBB;Mike Hillyer
CHEAPER CLYDE;17/08/2005 22:04:17;24/08/2005 20:22:17;JOY GEORGE;Jon Stephens
CHANCE RESURRECTION;17/08/2005 22:10:46;22/08/2005 22:37:46;FREDDIE DUGGAN;Mike Hillyer
SUNDANCE INVASION;17/08/2005 22:20:01;26/08/2005 2:14:01;EVA RAMOS;Mike Hillyer
GRINCH MASSAGE;17/08/2005 22:20:16;25/08/2005 23:30:16;RALPH MADRIGAL;Jon Stephens
INTRIGUE WORST;17/08/2005 22:22:50;27/08/2005 3:55:50;DWIGHT LOMBARDI;Mike Hillyer
BADMAN DAWN;17/08/2005 22:28:40;22/08/2005 2:05:40;DEBBIE REYES;Mike Hillyer
DISTURBING SCARFACE;17/08/2005 22:31:04;23/08/2005 22:45:04;CHARLOTTE HUNTER;Mike Hillyer
GOLDFINGER SENSIBILITY;17/08/2005 22:56:39;26/08/2005 19:37:39;GERTRUDE CASTILLO;Mike Hillyer
OPERATION OPERATION;17/08/2005 22:59:55;22/08/2005 19:33:55;EDWARD BAUGH;Jon Stephens
VANISHING ROCKY;17/08/2005 23:16:44;20/08/2005 2:13:44;ALFREDO MCADAMS;Jon Stephens
OPUS ICE;17/08/2005 23:16:46;19/08/2005 0:11:46;MATTHEW MAHAN;Jon Stephens
TEEN APOLLO;17/08/2005 23:20:45;25/08/2005 4:23:45;AARON SELBY;Jon Stephens
BLADE POLISH;17/08/2005 23:22:18;19/08/2005 23:36:18;GILBERT SLEDGE;Jon Stephens
KISSING DOLLS;17/08/2005 23:25:21;23/08/2005 21:51:21;MICHAEL SILVERMAN;Mike Hillyer
DETECTIVE VISION;17/08/2005 23:50:24;23/08/2005 18:01:24;BOBBY BOUDREAU;Jon Stephens
LOATHING LEGALLY;18/08/2005 0:13:15;20/08/2005 1:27:15;MAXINE SILVA;Jon Stephens
HOOSIERS BIRDCAGE;18/08/2005 0:14:03;18/08/2005 23:52:03;BARBARA JONES;Jon Stephens
MONSTER SPARTACUS;18/08/2005 0:44:30;25/08/2005 3:34:30;SONIA GREGORY;Mike Hillyer
TURN STAR;18/08/2005 0:53:37;27/08/2005 0:09:37;KIMBERLY LEE;Jon Stephens
DRUMLINE CYCLONE;18/08/2005 1:07:00;22/08/2005 21:01:00;MAUREEN LITTLE;Jon Stephens
NETWORK PEAK;18/08/2005 1:08:34;24/08/2005 20:52:34;STEPHANIE MITCHELL;Mike Hillyer
STING PERSONAL;18/08/2005 1:10:33;24/08/2005 2:45:33;IRMA PEARSON;Jon Stephens
GRAPES FURY;18/08/2005 1:36:00;21/08/2005 1:59:00;ALICE STEWART;Mike Hillyer
ROCKETEER MOTHER;18/08/2005 1:45:50;22/08/2005 20:12:50;MARTHA GONZALEZ;Mike Hillyer
SLEEPY JAPANESE;18/08/2005 2:08:58;26/08/2005 21:54:58;BOB PFEIFFER;Jon Stephens
TYCOON GATHERING;18/08/2005 2:18:52;22/08/2005 21:01:52;KENT ARSENAULT;Mike Hillyer
TITANIC BOONDOCK;18/08/2005 2:35:39;24/08/2005 0:36:39;FRANCES PARKER;Mike Hillyer
MARS ROMAN;18/08/2005 2:44:44;24/08/2005 3:27:44;DAWN SULLIVAN;Mike Hillyer
HOLES BRANNIGAN;18/08/2005 2:48:14;21/08/2005 1:52:14;CHRISTINA RAMIREZ;Jon Stephens
JET NEIGHBORS;18/08/2005 2:49:54;23/08/2005 7:52:54;PENNY NEAL;Mike Hillyer
HEARTBREAKERS BRIGHT;18/08/2005 3:00:11;24/08/2005 5:01:11;CHARLES KOWALSKI;Mike Hillyer
DATE SPEED;18/08/2005 3:17:50;20/08/2005 2:49:50;TERRENCE GUNDERSON;Mike Hillyer
IMPACT ALADDIN;18/08/2005 3:37:31;25/08/2005 6:50:31;JOSEPHINE GOMEZ;Mike Hillyer
HANKY OCTOBER;18/08/2005 3:38:54;27/08/2005 6:56:54;JUSTIN NGO;Jon Stephens
OZ LIAISONS;18/08/2005 3:46:40;24/08/2005 22:27:40;MORRIS MCCARTER;Jon Stephens
JUGGLER HARDLY;18/08/2005 3:51:51;24/08/2005 5:36:51;MAXINE SILVA;Jon Stephens
INNOCENT USUAL;18/08/2005 3:53:18;22/08/2005 4:53:18;WALLACE SLONE;Mike Hillyer
PEAK FOREVER;18/08/2005 3:59:02;19/08/2005 2:38:02;BRANDY GRAVES;Mike Hillyer
THIN SAGEBRUSH;18/08/2005 4:16:06;27/08/2005 8:04:06;CLYDE TOBIAS;Mike Hillyer
JADE BUNCH;18/08/2005 4:22:31;19/08/2005 4:25:31;ALVIN DELOACH;Jon Stephens
CHICAGO NORTH;18/08/2005 4:24:30;26/08/2005 3:01:30;CRAIG MORRELL;Jon Stephens
CLOSER BANG;18/08/2005 4:27:54;25/08/2005 7:03:54;BYRON BOX;Mike Hillyer
STING PERSONAL;18/08/2005 4:33:11;20/08/2005 23:10:11;DEAN SAUER;Mike Hillyer
BEAR GRACELAND;18/08/2005 4:41:47;27/08/2005 7:00:47;FRANCES PARKER;Mike Hillyer
PURE RUNNER;18/08/2005 4:46:45;24/08/2005 8:59:45;SHELLY WATTS;Jon Stephens
TEEN APOLLO;18/08/2005 4:49:27;21/08/2005 3:39:27;CATHERINE CAMPBELL;Jon Stephens
FEVER EMPIRE;18/08/2005 5:08:54;27/08/2005 2:51:54;JEAN BELL;Mike Hillyer
CHAMBER ITALIAN;18/08/2005 5:13:36;25/08/2005 4:00:36;FRANKLIN TROUTMAN;Jon Stephens
IMAGE PRINCESS;18/08/2005 5:16:28;22/08/2005 10:32:28;MYRTLE FLEMING;Mike Hillyer
COLOR PHILADELPHIA;18/08/2005 5:58:40;20/08/2005 2:20:40;MARGARET MOORE;Jon Stephens
RANGE MOONWALKER;18/08/2005 6:26:51;20/08/2005 4:00:51;MARGIE WADE;Mike Hillyer
GARDEN ISLAND;18/08/2005 7:05:06;19/08/2005 2:27:06;WAYNE TRUONG;Jon Stephens
TRANSLATION SUMMER;18/08/2005 7:44:05;19/08/2005 2:26:05;CYNTHIA YOUNG;Mike Hillyer
SABRINA MIDNIGHT;18/08/2005 7:52:49;26/08/2005 3:20:49;ANA BRADLEY;Jon Stephens
ROSES TREASURE;18/08/2005 7:55:09;19/08/2005 5:29:09;SARA PERRY;Jon Stephens
SPLASH GUMP;18/08/2005 7:55:14;22/08/2005 6:12:14;WENDY HARRISON;Mike Hillyer
SPICE SORORITY;18/08/2005 7:57:38;25/08/2005 5:49:38;SEAN DOUGLASS;Jon Stephens
ROBBERS JOON;18/08/2005 7:57:47;22/08/2005 11:32:47;ANGEL BARCLAY;Mike Hillyer
COMMAND DARLING;18/08/2005 8:07:25;27/08/2005 3:41:25;ADAM GOOCH;Mike Hillyer
NOVOCAINE FLIGHT;18/08/2005 8:26:48;19/08/2005 10:08:48;EMILY DIAZ;Jon Stephens
SILENCE KANE;18/08/2005 8:31:43;23/08/2005 12:24:43;YOLANDA WEAVER;Jon Stephens
POND SEATTLE;18/08/2005 8:39:33;21/08/2005 14:22:33;JAMIE RICE;Mike Hillyer
RESURRECTION SILVERADO;18/08/2005 8:45:57;24/08/2005 4:50:57;BETH FRANKLIN;Jon Stephens
SHINING ROSES;18/08/2005 8:51:42;23/08/2005 13:06:42;HOWARD FORTNER;Mike Hillyer
MONSOON CAUSE;18/08/2005 8:57:58;25/08/2005 5:20:58;CINDY FISHER;Jon Stephens
SHIP WONDERLAND;18/08/2005 9:05:15;23/08/2005 11:10:15;SCOTT SHELLEY;Mike Hillyer
GROOVE FICTION;18/08/2005 9:19:12;26/08/2005 6:52:12;DOROTHY TAYLOR;Mike Hillyer
BONNIE HOLOCAUST;18/08/2005 9:27:34;25/08/2005 13:10:34;SHANNON FREEMAN;Jon Stephens
BOOGIE AMELIE;18/08/2005 9:39:26;24/08/2005 5:19:26;CHARLENE ALVAREZ;Jon Stephens
LEBOWSKI SOLDIERS;18/08/2005 9:40:38;19/08/2005 4:45:38;LESLIE GORDON;Mike Hillyer
MASKED BUBBLE;18/08/2005 9:43:58;19/08/2005 15:02:58;JUDITH COX;Jon Stephens
EFFECT GLADIATOR;18/08/2005 9:47:57;21/08/2005 5:54:57;ANA BRADLEY;Jon Stephens
GALAXY SWEETHEARTS;18/08/2005 9:49:52;23/08/2005 12:32:52;TAMMY SANDERS;Jon Stephens
SCALAWAG DUCK;18/08/2005 9:57:00;19/08/2005 8:56:00;KATHY JAMES;Mike Hillyer
TRIP NEWTON;18/08/2005 9:59:36;19/08/2005 11:35:36;HEIDI LARSON;Jon Stephens
BROOKLYN DESERT;18/08/2005 10:01:50;22/08/2005 8:14:50;DAN PAINE;Mike Hillyer
CONFIDENTIAL INTERVIEW;18/08/2005 10:24:11;22/08/2005 15:34:11;TAMMY SANDERS;Jon Stephens
PARADISE SABRINA;18/08/2005 10:26:46;27/08/2005 13:23:46;TROY QUIGLEY;Mike Hillyer
WILLOW TRACY;18/08/2005 10:34:59;22/08/2005 14:42:59;JULIA FLORES;Mike Hillyer
INTRIGUE WORST;18/08/2005 10:47:57;26/08/2005 7:11:57;IAN STILL;Jon Stephens
ALLEY EVOLUTION;18/08/2005 10:50:07;21/08/2005 8:06:07;LEAH CURTIS;Mike Hillyer
MADNESS ATTACKS;18/08/2005 11:17:07;25/08/2005 12:34:07;RITA GRAHAM;Mike Hillyer
ZORRO ARK;18/08/2005 11:22:53;22/08/2005 14:30:53;OLGA JIMENEZ;Jon Stephens
FEUD FROGMEN;18/08/2005 11:40:09;19/08/2005 13:33:09;WILMA RICHARDS;Jon Stephens
LIGHTS DEER;18/08/2005 11:53:07;24/08/2005 16:00:07;TANYA GILBERT;Mike Hillyer
PLATOON INSTINCT;18/08/2005 12:14:21;24/08/2005 14:43:21;TONY CARRANZA;Jon Stephens
WONDERLAND CHRISTMAS;18/08/2005 12:25:16;22/08/2005 6:27:16;CAROLYN PEREZ;Jon Stephens
DOZEN LION;18/08/2005 12:26:37;21/08/2005 18:08:37;TONY CARRANZA;Jon Stephens
MARS ROMAN;18/08/2005 12:45:24;22/08/2005 12:39:24;CLYDE TOBIAS;Mike Hillyer
AIRPLANE SIERRA;18/08/2005 13:05:51;19/08/2005 14:54:51;DANIEL CABRAL;Jon Stephens
SOMETHING DUCK;18/08/2005 13:17:30;23/08/2005 18:03:30;NATHAN RUNYON;Mike Hillyer
ATTACKS HATE;18/08/2005 13:19:13;27/08/2005 11:48:13;SALVADOR TEEL;Jon Stephens
REUNION WITCHES;18/08/2005 13:33:55;23/08/2005 12:50:55;BRYAN HARDISON;Jon Stephens
STEPMOM DREAM;18/08/2005 13:41:32;23/08/2005 13:01:32;GWENDOLYN MAY;Mike Hillyer
LIGHTS DEER;18/08/2005 13:42:14;24/08/2005 16:44:14;TARA RYAN;Mike Hillyer
WESTWARD SEABISCUIT;18/08/2005 13:45:40;27/08/2005 17:05:40;HAROLD MARTINO;Mike Hillyer
SEARCHERS WAIT;18/08/2005 13:48:43;19/08/2005 10:05:43;TERESA ROGERS;Mike Hillyer
DISTURBING SCARFACE;18/08/2005 13:54:48;26/08/2005 8:58:48;ROLAND SOUTH;Jon Stephens
CONFIDENTIAL INTERVIEW;18/08/2005 14:01:40;20/08/2005 15:32:40;ERIC ROBERT;Mike Hillyer
LAWLESS VISION;18/08/2005 14:06:06;25/08/2005 14:21:06;LOUIS LEONE;Mike Hillyer
FANTASIA PARK;18/08/2005 14:09:09;23/08/2005 19:12:09;KIM CRUZ;Mike Hillyer
NEMO CAMPUS;18/08/2005 14:17:30;26/08/2005 15:33:30;DAVID ROYAL;Jon Stephens
VARSITY TRIP;18/08/2005 14:46:34;20/08/2005 11:02:34;MARVIN YEE;Jon Stephens
CLERKS ANGELS;18/08/2005 14:47:28;25/08/2005 14:34:28;STANLEY SCROGGINS;Jon Stephens
CANDIDATE PERDITION;18/08/2005 15:00:03;23/08/2005 12:55:03;WILMA RICHARDS;Jon Stephens
BEACH HEARTBREAKERS;18/08/2005 15:11:35;22/08/2005 11:45:35;ROGER QUINTANILLA;Jon Stephens
MIRACLE VIRTUAL;18/08/2005 15:15:44;22/08/2005 19:32:44;DAVE GARDINER;Jon Stephens
DESTINY SATURDAY;18/08/2005 15:20:46;24/08/2005 12:38:46;ANGELA HERNANDEZ;Jon Stephens
FAMILY SWEET;18/08/2005 15:32:54;21/08/2005 10:30:54;TERRY CARLSON;Mike Hillyer
SABRINA MIDNIGHT;18/08/2005 15:37:42;25/08/2005 19:17:42;EDITH MCDONALD;Mike Hillyer
WIZARD COLDBLOODED;18/08/2005 15:51:36;25/08/2005 19:21:36;BILLY POULIN;Mike Hillyer
CIRCUS YOUTH;18/08/2005 16:04:45;23/08/2005 20:30:45;GLENN PULLEN;Mike Hillyer
TIMBERLAND SKY;18/08/2005 16:17:54;21/08/2005 18:02:54;THERESA WATSON;Jon Stephens
GO PURPLE;18/08/2005 16:27:08;19/08/2005 14:53:08;VELMA LUCAS;Mike Hillyer
SPLENDOR PATTON;18/08/2005 16:34:02;25/08/2005 17:30:02;DUSTIN GILLETTE;Jon Stephens
PREJUDICE OLEANDER;18/08/2005 16:34:03;22/08/2005 16:44:03;PATRICK NEWSOM;Mike Hillyer
PIRATES ROXANNE;18/08/2005 16:47:52;24/08/2005 11:05:52;WADE DELVALLE;Mike Hillyer
TORQUE BOUND;18/08/2005 16:58:48;19/08/2005 19:36:48;NANCY THOMAS;Mike Hillyer
STOCK GLASS;18/08/2005 17:16:01;23/08/2005 18:40:01;SUSAN WILSON;Jon Stephens
MINE TITANS;18/08/2005 17:36:19;23/08/2005 11:42:19;TRACY COLE;Mike Hillyer
GOSFORD DONNIE;18/08/2005 17:40:33;26/08/2005 21:09:33;TOMMY COLLAZO;Mike Hillyer
MUSIC BOONDOCK;18/08/2005 17:52:51;25/08/2005 14:40:51;WALTER PERRYMAN;Jon Stephens
VIRTUAL SPOILERS;18/08/2005 17:55:38;23/08/2005 17:19:38;WESLEY BULL;Jon Stephens
PUNK DIVORCE;18/08/2005 18:31:47;22/08/2005 21:07:47;DARRYL ASHCRAFT;Jon Stephens
ROBBERY BRIGHT;18/08/2005 18:53:17;26/08/2005 14:08:17;LORI WOOD;Mike Hillyer
SUPERFLY TRIP;18/08/2005 18:58:35;21/08/2005 0:41:35;VELMA LUCAS;Mike Hillyer
TRADING PINOCCHIO;18/08/2005 19:11:41;21/08/2005 18:04:41;VICKIE BREWER;Jon Stephens
AMERICAN CIRCUS;18/08/2005 19:11:45;27/08/2005 13:34:45;JULIO NOLAND;Jon Stephens
WORKING MICROCOSMOS;18/08/2005 19:17:47;24/08/2005 14:55:47;DON BONE;Mike Hillyer
GREASE YOUTH;18/08/2005 19:19:59;23/08/2005 17:53:59;CLIFTON MALCOLM;Jon Stephens
VALLEY PACKER;18/08/2005 19:51:29;27/08/2005 14:58:29;GRACE ELLIS;Jon Stephens
CALENDAR GUNFIGHT;18/08/2005 19:55:09;26/08/2005 14:17:09;PHILLIP HOLM;Mike Hillyer
KNOCK WARLOCK;18/08/2005 19:59:54;26/08/2005 18:52:54;ROSE HOWARD;Jon Stephens
SUSPECTS QUILLS;18/08/2005 20:13:08;19/08/2005 18:02:08;JEREMY HURTADO;Jon Stephens
MUSCLE BRIGHT;18/08/2005 20:14:56;23/08/2005 21:54:56;ALICIA MILLS;Mike Hillyer
CANYON STOCK;18/08/2005 20:24:46;23/08/2005 21:50:46;JIMMY SCHRADER;Mike Hillyer
HEAVEN FREEDOM;18/08/2005 20:30:33;27/08/2005 1:22:33;DUSTIN GILLETTE;Jon Stephens
ENDING CROWDS;18/08/2005 20:37:13;26/08/2005 16:13:13;CALVIN MARTEL;Mike Hillyer
MIGHTY LUCK;18/08/2005 21:04:13;25/08/2005 18:15:13;MARCUS HIDALGO;Jon Stephens
SECRET GROUNDHOG;18/08/2005 21:15:40;20/08/2005 0:59:40;SALLY PIERCE;Jon Stephens
MOD SECRETARY;18/08/2005 21:28:42;25/08/2005 18:02:42;CHAD CARBONE;Mike Hillyer
DAISY MENAGERIE;18/08/2005 21:33:53;27/08/2005 23:47:53;JEFFERY PINSON;Jon Stephens
TRAMP OTHERS;18/08/2005 21:34:16;22/08/2005 22:37:16;RAY HOULE;Mike Hillyer
SHOOTIST SUPERFLY;18/08/2005 22:04:52;25/08/2005 0:34:52;JOSEPHINE GOMEZ;Mike Hillyer
CLUE GRAIL;18/08/2005 22:11:37;26/08/2005 4:08:37;ROSEMARY SCHMIDT;Mike Hillyer
TORQUE BOUND;18/08/2005 22:15:18;27/08/2005 0:37:18;MISTY LAMBERT;Jon Stephens
IGBY MAKER;18/08/2005 22:17:05;25/08/2005 20:07:05;RICKY SHELBY;Jon Stephens
BEACH HEARTBREAKERS;18/08/2005 22:22:45;20/08/2005 1:44:45;KIMBERLY LEE;Jon Stephens
HARDLY ROBBERS;18/08/2005 22:52:13;21/08/2005 17:22:13;JULIA FLORES;Mike Hillyer
STRANGER STRANGERS;18/08/2005 23:06:54;21/08/2005 18:30:54;BRETT CORNWELL;Mike Hillyer
SOLDIERS EVOLUTION;18/08/2005 23:25:20;27/08/2005 4:43:20;DIANE COLLINS;Mike Hillyer
DANCING FEVER;18/08/2005 23:26:40;25/08/2005 3:03:40;NATHANIEL ADAM;Mike Hillyer
DURHAM PANKY;18/08/2005 23:29:25;23/08/2005 20:32:25;JIMMY SCHRADER;Mike Hillyer
